DateOfOffence,Issue_Date,Location,Section_No,AreaName,Latitude,Longitude
09/12/2020 00:00,08/01/2021 00:00,East Essex Street,3.1,SOUTH EAST,53.3451338,-6.2659764
05/01/2021 00:00,08/01/2021 00:00,Brookfield,3.1,NORTH CENTRAL,53.3131188,-6.3014686
12/10/2020 00:00,08/01/2021 00:00,bring Centre Raheny Library,3.1,NORTH CENTRAL,53.3799862,-6.1730329
27/11/2020 00:00,12/01/2021 00:00,Old County Road,3.1,SOUTH CENTRAL,53.3280078,-6.3025062
09/10/2020 00:00,15/01/2021 00:00,Ballymun road,3.1,NORTH WEST,53.3853859,-6.2651986
11/10/2020 00:00,15/01/2021 00:00,Tesco Ballyfermot,3.1,SOUTH CENTRAL,53.3416958,-6.3531507
05/01/2021 00:00,15/01/2021 00:00,Grangegorman Bring Centre,3.1,CENTRAL,53.3553418,-6.2779526
14/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
13/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
16/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
07/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
02/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
05/11/2020 00:00,19/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
08/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
09/11/2020 00:00,19/01/2021 00:00,Bring Centre Tonlegee Road,3.1,NORTH CENTRAL,53.3907807,-6.1833268
03/11/2020 00:00,20/01/2021 00:00,Clontarf Road Bring Centre,3.1,NORTH CENTRAL,53.3601595,-6.2024344
08/11/2020 00:00,20/01/2021 00:00,clontarf Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
18/11/2020 00:00,20/01/2021 00:00,Ballymun road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
19/11/2020 00:00,20/01/2021 00:00,Raheny Library Bring Centre,3.1,NORTH CENTRAL,53.3799862,-6.1730329
09/11/2020 00:00,20/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
22/09/2020 00:00,21/01/2021 00:00,Raheny Library Bring Centre,3.1,NORTH CENTRAL,53.3799862,-6.1730329
06/09/2020 00:00,21/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
06/09/2020 00:00,21/01/2021 00:00,Sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
05/09/2020 00:00,21/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
03/09/2020 00:00,21/01/2021 00:00,Bring Centre Alfie Byrne Road,3.1,NORTH CENTRAL,53.3610652,-6.2282948
07/09/2020 00:00,21/01/2021 00:00,Ballymun library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
